"SongPage","Title","Artist"
"song-display.html?song=Strangers_Kinks.pdf&id=1219","Strangers","Kinks"
"song-display.html?song=Blue_Monday_New_Order.pdf&id=1218","Blue Monday","New Order"
"song-display.html?song=Jesamine_Casuals.pdf&id=1217","Jesamine","Casuals"
"song-display.html?song=Green_Tambourine_Lemon_Pipers.pdf&id=1216","Green Tambourine","Lemon Pipers"
"song-display.html?song=Good_Company_Queen.pdf&id=1215","Good Company","Queen"
"song-display.html?song=Rum_and_Coca_Cola__Andrews_Sisters.pdf&id=1214","Rum and Coca Cola","Andrews Sisters"
"song-display.html?song=Norwegian_Wood_Beatles.pdf&id=1213","Norwegian Wood","Beatles"
"song-display.html?song=Count_On_Me_Bruno_Mars.pdf&id=1212","Count On Me","Bruno Mars"
"song-display.html?song=Summer_Holiday_Cliff_Richard.pdf&id=1211","Summer Holiday","Cliff Richard"
"song-display.html?song=Rhythm_Of_The_Rain_D_Cascades.pdf&id=1210","Rhythm Of The Rain","Cascades"
"song-display.html?song=I_Want_You_Bob_Dylan.pdf&id=1209","I Want You","Bob Dylan"
"song-display.html?song=Mothers_Little_Helper_Rolling_Stones.pdf&id=1208","Mother's Little Helper","Rolling Stones"
"song-display.html?song=Singing_The_Blues_D_Guy_Mitchell.pdf&id=1207","Singing The Blues","Guy Mitchell"
"song-display.html?song=Rhythm_Of_The_Rain_Cascades.pdf&id=1206","Rhythm Of The Rain","Cascades"
"song-display.html?song=Sleeping_By_Myself_Eddie_Vedder.pdf&id=1205","Sleeping By Myself","Eddie Vedder"
"song-display.html?song=Jealous_Guy_G_John_Lennon.pdf&id=1204","Jealous Guy","John Lennon"
"song-display.html?song=Ebony_Eyes_Bob_Welch.pdf&id=1203","Ebony Eyes","Bob Welch"
"song-display.html?song=Seasons_of_Change.pdf&id=1202","Seasons Of Change","Blackfeather"
"song-display.html?song=Bedroom_Eyes_Kate_Ceberano.pdf&id=1201","Bedroom Eyes","Kate Ceberano"
"song-display.html?song=Mad_World_Am_Tears_For_Fears.pdf&id=1200","Mad World","Tears For Fears"
"song-display.html?song=Mad_World_Em_Tears_For_Fears.pdf&id=1199","Mad World","Tears For Fears"
"song-display.html?song=At_Seventeen_Janis_Ian.pdf&id=1198","At Seventeen","Janis Ian"
"song-display.html?song=Opportunity_Pete_Murray.pdf&id=1197","Opportunity","Pete Murray"
"song-display.html?song=Baker_St_Gerry_Rafferty.pdf&id=1196","Baker Street","Gerry Rafferty"
"song-display.html?song=Where_Is_The_Love_Roberta_Flack_and_Donny_Hathaway.pdf&id=1195","Where Is The Love","Roberta Flack and Donny Hathaway"
"song-display.html?song=Aeroplane_Jelly.pdf&id=1194","Aeroplane Jelly",""
"song-display.html?song=Lady_Godiva_Peter_and_Gordon.pdf&id=1193","Lady Godiva","Peter and Gordon"
"song-display.html?song=Those_Were_The_Days__Bm_Mary_Hopkin.pdf&id=1192","Those Were The Days","Mary Hopkin"
"song-display.html?song=Sentimental_Friend_G_Hermans_Hermits.pdf&id=1191","Sentimental Friend","Herman's Hermits"
"song-display.html?song=Im_Gonna_Be_a_Wheel_Fats_Domino.pdf&id=1190","I'm Gonna Be A Wheel","Fats Domino"
"song-display.html?song=The_Ballad_of_Bonnie_And_Clyde_Georgie_Fame.pdf&id=1189","The Ballad Of Bonnie And Clyde","Georgie Fame"
"song-display.html?song=Lonely_Boy_Black_Keys.pdf&id=1188","Lonely Boy","Black Keys"
"song-display.html?song=Colours_Donovan.pdf&id=1187","Colours","Donovan"
"song-display.html?song=Pictures_of_Lily_Who.pdf&id=1186","Pictures Of Lily","Who"
"song-display.html?song=Its_A_Long_Way_To_The_Top_ACDC.pdf&id=1185","It's A Long Way To The Top","ACDC"
"song-display.html?song=Till_There_Was_You_Beatles.pdf&id=1184","Till There Was You","Beatles"
"song-display.html?song=Doo_Wah_Diddy_Manfred_Mann.pdf&id=1183","Doo Wah Diddy","Manfred Mann"
"song-display.html?song=Ma_Belle_Amie_Tee_Set.pdf&id=1182","Ma Belle Amie","Tee Set"
"song-display.html?song=Need_Your_Love_So_Bad_Fleetwood_Mac.pdf&id=1181","Need Your Love So Bad","Fleetwood Mac"
"song-display.html?song=I_Know_Theres_An_Answer_Beach_Boys.pdf&id=1180","I Know There's An Answer","Beach Boys"
"song-display.html?song=Bette_Davis_Eyes_Kim_Carnes.pdf&id=1179","Bette Davis Eyes","Kim Carnes"
"song-display.html?song=Not_Fade_Away_Buddy_Holly.pdf&id=1178","Not Fade Away","Buddy Holly"
"song-display.html?song=Nothing_Really_Matters_Pigram_Brothers.pdf&id=1177","Nothing Really Matters","Pigram Brothers"
"song-display.html?song=A_Kind_Of_Hush.pdf&id=1175","A Kind Of Hush","Herman's Hermits"
"song-display.html?song=Margaritaville_Jimmy_Buffet.pdf&id=1174","Margaritaville","Jimmy Buffet"
"song-display.html?song=Get_Off_My_Cloud_Rolling_Stones.pdf&id=1173","Get Off My Cloud","Rolling Stones"
"song-display.html?song=Reckless_Australian_Crawl.pdf&id=1172","Reckless","Australian Crawl"
"song-display.html?song=Flowers_In_The_Rain_Move.pdf&id=1171","Flowers In The Rain","Move"
"song-display.html?song=Comes_A_Time_C_Neil_Young.pdf&id=1166","Comes A Time C","Neil Young"
"song-display.html?song=Comes_A_Time_G_Neil_Young.pdf&id=1165","Comes A Time G","Neil Young"
"song-display.html?song=Cant_Give_You_Anything_Stylistics.pdf&id=1164","Can't Give You Anything But My Love","Stylistics"
"song-display.html?song=Time_After_Time_Cyndi_Lauper.pdf&id=1162","Time After Time","Cyndi Lauper"
"song-display.html?song=I_Feel_Like_Im_Fixin_to_Die_Rag_Country_Joe_and_the_Fish.pdf&id=1161","I Feel Like I'm Fixin' To Die Rag","Country Joe and the Fish"
"song-display.html?song=Indian_Summer_Beat_Happening.pdf&id=1160","Indian Summer","Beat Happening"
"song-display.html?song=I_Got_You_Split_Enz.pdf&id=1159","I Got You","Split Enz"
"song-display.html?song=Just_A_Boy_Angus_and_Julia_Stone.pdf&id=1158","Just A Boy","Angus and Julia Stone"
"song-display.html?song=Wagon_Wheel_Old_Crow_Medicine_Show.pdf&id=1157","Wagon Wheel","Old Crow Medicine Show"
"song-display.html?song=Woman_John_Lennon.pdf&id=1156","Woman","John Lennon"
"song-display.html?song=Crimson_and_Clover_Tommy_James_and_the_Shondells.pdf&id=1155","Crimson And Clover","Tommy James and the Shondells"
"song-display.html?song=Teach_Me_How_To_Fly_Jeff_St_John.pdf&id=1154","Teach Me How To Fly","Jeff St John and the Copperwine"
"song-display.html?song=Fraction_Too_Much_Friction_Tim_Finn.pdf&id=1153","Fraction Too Much Friction","Tim Finn"
"song-display.html?song=Early_Morning_Rain__Gordon_Lightfoot.pdf&id=1152","Early Morning Rain","Gordon Lightfoot"
"song-display.html?song=Little_Red_Uke.pdf&id=1151","Little Red Uke","Beach Boys"
"song-display.html?song=When_I_Was_Young_Animals.pdf&id=1150","When I Was Young","Animals"
"song-display.html?song=Fireflies_Owl_City.pdf&id=1149","Fireflies","Owl City"
"song-display.html?song=Fearless_Taylor_Swift.pdf&id=1148","Fearless","Taylor Swift"
"song-display.html?song=Military_Madness_Graham_Nash.pdf&id=1147","Military Madness","Graham Nash"
"song-display.html?song=Our_Lips_Are_Sealed_The_Go_Gos.pdf&id=1146","Our Lips Are Sealed","Go Go's"
"song-display.html?song=Poor_Boy_Split_Enz.pdf&id=1145","Poor Boy","Split Enz"
"song-display.html?song=Back_On_The_Chain_Gang_Pretenders.pdf&id=1144","Back On The Chain Gang","Pretenders"
"song-display.html?song=We_Are_Young_Fun.pdf&id=1142","We Are Young","Fun"
"song-display.html?song=Hit_And_Run_Jo_Jo_Zep_And_The_Falcons.pdf&id=1141","Hit And Run","Jo Jo Zep And The Falcons"
"song-display.html?song=Summer_In_The_City_Lovin_Spoonful.pdf&id=1140","Summer In The City","Lovin' Spoonful"
"song-display.html?song=Here_Comes_The_Rain_Mavericks.pdf&id=1138","Here Comes The Rain","Mavericks"
"song-display.html?song=The_Breakup_Song_Greg_Kihn_Band.pdf&id=1137","The Breakup Song","Greg Kihn Band"
"song-display.html?song=Cinnamon_Girl_Neil_Young.pdf&id=1136","Cinnamon Girl","Neil Young with Crazy Horse"
"song-display.html?song=Summer_Breeze_Seals_and_Crofts.pdf&id=1135","Summer Breeze","Seals and Crofts"
"song-display.html?song=MacArthur_Park_Richard_Harris.pdf&id=1134","MacArthur Park","Richard Harris"
"song-display.html?song=Mamy_Blue_Joel_Dayde.pdf&id=1133","Mamy Blue","Joel Dayde"
"song-display.html?song=Nowadays_Clancy_Cant_Even_Sing_Buffalo_Springfield.pdf&id=1128","Nowadays Clancy Can't Even Sing","Buffalo Springfield"
"song-display.html?song=Rock_and_Roll_Led_Zeppelin.pdf&id=1127","Rock And Roll","Led Zeppelin"
"song-display.html?song=Rose_of_Cimarron_Poco.pdf&id=1120","Rose Of Cimarron","Poco"
"song-display.html?song=Its_Too_Late_Carole_King.pdf&id=1119","It's Too Late","Carole King"
"song-display.html?song=Just_The_Way_You_Are_Billy_Joel.pdf&id=1118","Just The Way You Are","Billy Joel"
"song-display.html?song=Wicked_Game_Bm_Chris_Isaak.pdf&id=1117","Wicked Game","Chris Isaak"
"song-display.html?song=Little_Honda_Beach_Boys.pdf&id=1116","Little Honda","Beach Boys"
"song-display.html?song=Brother_Can_You_Spare_A_Dime_Dm.pdf&id=1115","Brother Can You Spare A Dime",""
"song-display.html?song=Heart_of_Gold_Em_Neil_Young.pdf&id=1113","Heart Of Gold","Neil Young"
"song-display.html?song=Dream_A_Little_Dream_Of_Me_F.pdf&id=1111","Dream A Little Dream Of Me","Kahn Schwandt Andre"
"song-display.html?song=Who_Broke_The_Lock.pdf&id=1110","Who Broke The Lock [On The Henhouse Door]","Traditional"
"song-display.html?song=Here_Comes_The_Rain_Again_Eurythmics.pdf&id=1109","Here Comes The Rain Again","Eurythmics"
"song-display.html?song=Somebodys_Crying_Chris_Isaak.pdf&id=1108","Somebody's Crying","Chris Isaak"
"song-display.html?song=Please_Pretty_Baby_John_Earl_Walker.pdf&id=1107","Please Pretty Baby","John Earl Walker"
"song-display.html?song=Here_I_Go_Again_Hollies.pdf&id=1106","Here I Go Again","Hollies"
"song-display.html?song=Moonlight_Pigram_Brothers.pdf&id=1105","Moonlight","Pigram Brothers"
"song-display.html?song=Girl_Davy_Jones.pdf&id=1104","Girl","Davy Jones"
"song-display.html?song=Wasnt_Born_To_Follow_Byrds.pdf&id=1103","Wasn't Born To Follow","Byrds"
"song-display.html?song=Born_To_Be_Wild_Steppenwolf.pdf&id=1102","Born To Be Wild","Steppenwolf"
"song-display.html?song=Cant_Get_You_Out_Of_My_Head_Kylie_Minogue.pdf&id=1101","Can't Get You Out Of My Head","Kylie Minogue"
"song-display.html?song=The_Way_It_Goes_Gillian_Welch.pdf&id=1100","The Way It Goes","Gillian Welch"
"song-display.html?song=Time_Is_On_My_Side_Rolling_Stones.pdf&id=1099","Time Is On My Side","Rolling Stones"
"song-display.html?song=No_Matter_What_You_Do_Love.pdf&id=1098","No Matter What You Do","Love"
"song-display.html?song=Suzanne_Beware_Of_The_Devil.pdf&id=1097","Suzanne Beware Of The Devil","Dandy Livingstone"
"song-display.html?song=Weather_With_You_Crowded_House.pdf&id=1096","Weather With You (UOGB)","Crowded House"
"song-display.html?song=Stumblin_In_Suzi_Quatro.pdf&id=1095","Stumblin' In","Suzi Quatro"
"song-display.html?song=Hotel_California_Am.pdf&id=1094","Hotel California","Eagles"
"song-display.html?song=Only_You_and_Me_Ben_Cocks.pdf&id=1093","Only You and Me","Ben Cocks"
"song-display.html?song=Watching_The_Detectives__Elvis_Costello.pdf&id=1092","Watching The Detectives","Elvis Costello and the Attractions"
"song-display.html?song=Help_Beatles.pdf&id=1091","Help","Beatles"
"song-display.html?song=How_Can_I_Be_Sure_Young_Rascals.pdf&id=1090","How Can I Be Sure","Young Rascals"
"song-display.html?song=Get_It_While_You_Can_Janis_Joplin.pdf&id=1089","Get It While You Can","Janis Joplin"
"song-display.html?song=Satisfaction_Rolling_Stones.pdf&id=1088","Satisfaction","Rolling Stones"
"song-display.html?song=This_Diamond_Ring_Gary_Lewis_and_the_Playboys.pdf&id=1087","This Diamond Ring","Gary Lewis and the Playboys"
"song-display.html?song=Pictures_Of_Matchstick_Men_Status_Quo.pdf&id=1086","Pictures Of Matchstick Men","Status Quo"
"song-display.html?song=Tell_Me_Rolling_Stones.pdf&id=1085","Tell Me (You're Coming Back To Me)","Rolling Stones"
"song-display.html?song=2000_Light_Years_From_Home_Rolling_Stones.pdf&id=1084","2000 Light Years From Home","Rolling Stones"
"song-display.html?song=Its_Turned_Out_Nice_Again_George_Formby.pdf&id=1083","It's Turned Out Nice Again","George Formby"
"song-display.html?song=Tower_of_Song_Leonard_Cohen.pdf&id=1082","Tower Of Song","Leonard Cohen"
"song-display.html?song=Christmas_Is_All_Around_Billy_Mack.pdf&id=1081","Christmas Is All Around","Billy Mack"
"song-display.html?song=So_Long_Marianne_Leonard_Cohen.pdf&id=1080","So Long Marianne","Leonard Cohen"
"song-display.html?song=Ill_Fly_Away_Kossoy_Sisters.pdf&id=1079","I'll Fly Away","Kossoy Sisters"
"song-display.html?song=A_Mighty_Wind.pdf&id=1078","A Mighty Wind","New Main St Singers Folksmen Mitch and Mickey"
"song-display.html?song=Hungry_Like_the_Elf.pdf&id=1077","Hungry Like The Elf","Minx/Harmonic Christmas"
"song-display.html?song=Let_It_Snow.pdf&id=1076","Let It Snow","Vaughn Monroe Christmas"
"song-display.html?song=Lulus_Back_In_Town.pdf&id=1075","Lulu's Back In Town","Dubin/Warren"
"song-display.html?song=Someone_Like_You_Adele_G.pdf&id=1074","Someone Like You","Adele"
"song-display.html?song=This_Guitar_George_Harrison.pdf&id=1073","This Guitar [Can't Keep From Crying]","George Harrison"
"song-display.html?song=Cecilia_Simon_and_Garfunkel.pdf&id=1071","Cecilia","Simon and Garfunkel"
"song-display.html?song=Father_Christmas_Do_Not_Touch_Me_Goodies.pdf&id=1070","Father Christmas Do Not Touch Me","Goodies"
"song-display.html?song=The_Chimney_Song_Bob_Rivers.pdf&id=1069","The Chimney Song","Bob Rivers Christmas"
"song-display.html?song=Spinning_Wheel_Blood_Sweat_and_Tears.pdf&id=1068","Spinning Wheel","Blood Sweat And Tears"
"song-display.html?song=Deep_Water_Richard_Clapton.pdf&id=1067","Deep Water","Richard Clapton"
"song-display.html?song=Hungry_Like_The_Wolf_Duran_Duran.pdf&id=1066","Hungry Like The Wolf","Duran Duran"
"song-display.html?song=In_The_Street_Big_Star.pdf&id=1065","In The Street","Big Star"
"song-display.html?song=Dreams_Of_The_Everyday_Housewife_Glen_Campbell.pdf&id=1064","Dreams Of The Everyday Housewife","Glen Campbell"
"song-display.html?song=Hotel_California_Eagles.pdf&id=1063","Hotel California","Eagles"
"song-display.html?song=Crime_of_the_Century_Supertramp.pdf&id=1062","Crime Of The Century","Supertramp"
"song-display.html?song=Everybody_Hurts_REM.pdf&id=1061","Everybody Hurts","R.E.M."
"song-display.html?song=Apeman_Kinks.pdf&id=1060","Apeman","Kinks"
"song-display.html?song=Crazy_Patsy_Cline.pdf&id=1059","Crazy","Patsy Cline"
"song-display.html?song=Rainbow_Connection_Kermit_C.pdf&id=1058","Rainbow Connection","Kermit"
"song-display.html?song=Hard_Times_Come_Again_No_More_Stephen_Foster.pdf&id=1057","Hard Times Come Again No More","Stephen Foster"
"song-display.html?song=You_Cant_Do_That_Beatles.pdf&id=1056","You Can't Do That","Beatles"
"song-display.html?song=Working_Class_Man_Jimmy_Barnes.pdf&id=1055","Working Class Man","Jimmy Barnes"
"song-display.html?song=Man_On_The_Moon_REM.pdf&id=1054","Man On The Moon","R.E.M."
"song-display.html?song=Ive_Just_Seen_A_Face_A.pdf&id=1053","I've Just Seen A Face","Beatles"
"song-display.html?song=ive_Just_Seen_A_Face_F.pdf&id=1052","I've Just Seen A Face","Beatles"
"song-display.html?song=Its_A_Heartache_Bonnie_Tyler.pdf&id=1051","It's A Heartache","Bonnie Tyler"
"song-display.html?song=Im_Moving_Along.pdf&id=1050","I'm Moving Along","Patsy Cline"
"song-display.html?song=Let_It_Be_Beatles.pdf&id=1049","Let It Be","Beatles"
"song-display.html?song=Shes_So_Fine_Flash_Cadillac.pdf&id=1048","She's So Fine","Flash Cadillac and the Continental Kids"
"song-display.html?song=Breakaway_Kelly_Clarkson.pdf&id=1047","Breakaway","Kelly Clarkson"
"song-display.html?song=25_or_6_to_4_Chicago.pdf&id=1046","25 or 6 to 4","Chicago"
"song-display.html?song=Dyer_Maker_Led_Zeppelin.pdf&id=1045","D'yer Mak'er","Led Zeppelin"
"song-display.html?song=Baby_Blue_Badfinger.pdf&id=1044","Baby Blue","Badfinger"
"song-display.html?song=Long_Way_Home_Supertramp.pdf&id=1043","Long Way Home","Supertramp"
"song-display.html?song=Silent_Night_Trad_Christmas.pdf&id=1042","Silent Night","Trad Christmas"
"song-display.html?song=Girls_On_The_Avenue_Richard_Clapton.pdf&id=1041","Girls On The Avenue","Richard Clapton"
"song-display.html?song=Vicious_Lou_Reed.pdf&id=1040","Vicious","Lou Reed"
"song-display.html?song=Feelin_Alright_Traffic.pdf&id=1039","Feelin' Alright","Traffic"
"song-display.html?song=Wig_Wam_Bam_Sweet.pdf&id=1038","Wig Wam Bam","Sweet"
"song-display.html?song=Its_Raining_Again_Supertramp.pdf&id=1037","Its Raining Again","Supertramp"
"song-display.html?song=I_Close_My_Eyes_And_Count_To_Ten_Dm_Dusty_Springfield.pdf&id=1036","I Close My Eyes And Count To Ten","Dusty Springfield"
"song-display.html?song=The_Logical_Song_Supertramp.pdf&id=1035","The Logical Song","Supertramp"
"song-display.html?song=Hide_In_Your_Shell_G_Supertramp.pdf&id=1034","Hide In Your Shell","Supertramp"
"song-display.html?song=Somebody_That_I_Used_To_Know_Gotye_Kimbra.pdf&id=1033","Somebody That I Used To Know","Gotye featuring Kimbra"
"song-display.html?song=Rain_Jose_Feliciano.pdf&id=1032","Rain","Jose Feliciano"
"song-display.html?song=Campfire_Song_Song_Spongebob_Squarepants.pdf&id=1031","Campfire Song Song","Spongebob Squarepants"
"song-display.html?song=Solitary_Man_Fsharpmin.pdf&id=1030","Solitary Man","Neil Diamond"
"song-display.html?song=Old_Father_Thames_Peter_Dawson.pdf&id=1029","Old Father Thames","Peter Dawson"
"song-display.html?song=PS_I_Love_You_Beatles.pdf&id=1028","P.S. I Love You","Beatles"
"song-display.html?song=One_More_River_James_Reyne.pdf&id=1027","One More River","James Reyne"
"song-display.html?song=Lookin_Out_My_Back_Door_CCR.pdf&id=1026","Lookin' Out My Back Door","Creedence Clearwater Revival"
"song-display.html?song=Rudolph_The_Red_Nose_Reindeer.pdf&id=1023","Rudolph The Red Nose Reindeer","Trad Christmas"
"song-display.html?song=Marys_Boy_Child_Boney_M.pdf&id=1022","Mary's Boy Child","Boney M Christmas"
"song-display.html?song=Merry_Xmas_Everybody_Slade_D.pdf&id=1021","Merry Xmas Everybody","Slade Christmas"
"song-display.html?song=Jingle_Bells.pdf&id=1020","Jingle Bells","Trad Christmas"
"song-display.html?song=We_Wish_You_A_Merry_Christmas.pdf&id=1019","We Wish You A Merry Christmas","Trad"
"song-display.html?song=Come_Back_and_Shake_Me_Clodagh_Rodgers.pdf&id=1018","Come Back And Shake Me","Clodagh Rodgers"
"song-display.html?song=Wolverton_Mountain_Claude_King.pdf&id=1017","Wolverton Mountain","Claude King"
"song-display.html?song=Vegetables_Beach_Boys.pdf&id=1016","Vegetables","Beach Boys"
"song-display.html?song=California_Dreaming_Mamas_and_The_Papas_Am.pdf&id=1015","California Dreaming","Mamas and the Papas"
"song-display.html?song=The_Lady_Dont_Mind_Talking_Heads.pdf&id=1014","The Lady Don't Mind","Talking Heads"
"song-display.html?song=Ballad_Of_Cat_Ballou.pdf&id=1013","Ballad Of Cat Ballou","Nat King Cole and Stubby Kaye"
"song-display.html?song=Unchained_Melody_Righteous_Brothers.pdf&id=1012","Unchained Melody","Righteous Brothers"
"song-display.html?song=Stand_By_Your_Man_Tammy_Wynette.pdf&id=1011","Stand By Your Man","Tammy Wynette"
"song-display.html?song=The_Sharing_Song_Jack_Johnson.pdf&id=1010","The Sharing Song","Jack Johnson"
"song-display.html?song=Take_Courage_Andrew_Bird.pdf&id=1009","Take Courage","Andrew Bird"
"song-display.html?song=Marry_You_Bruno_Mars.pdf&id=1008","Marry You","Bruno Mars"
"song-display.html?song=Should_I_Stay_Or_Should_I_Go_The_Clash.pdf&id=1007","Should I Stay Or Should I Go","Clash"
"song-display.html?song=Cats_In_The_Cradle_G.pdf&id=1006","Cat's In The Cradle","Harry Chapin"
"song-display.html?song=Sweet_and_Tender_Romance_McKinleys_C.pdf&id=1005","Sweet And Tender Romance","McKinleys"
"song-display.html?song=Sweet_and_Tender_Romance_McKinleys_G.pdf&id=1004","Sweet And Tender Romance","McKinleys"
"song-display.html?song=Lady_Bump_Penny_Mclean.pdf&id=1003","Lady Bump","Penny McLean"
"song-display.html?song=Must_To_Avoid_Hermans_Hermits.pdf&id=1002","Must To Avoid","Herman's Hermits"
"song-display.html?song=Banks_Of_The_Ohio_Olivia_Newton_John.pdf&id=1001","Banks Of The Ohio","Olivia Newton John"
"song-display.html?song=Humphrey_The_Camel_Blanchard_Morgan.pdf&id=1000","Humphrey The Camel","Jack Blanchard and Misty Morgan"
"song-display.html?song=The_Voice_In_The_Graveyard.pdf&id=999","The Voice In The Graveyard","Jack Blanchard and Misty Morgan"
"song-display.html?song=Being_For_The_Benefit_Of_Mr_Kite_Beatles.pdf&id=998","Being For The Benefit Of Mr Kite","Beatles"
"song-display.html?song=Breaking_Up_Is_Hard_To_Do_Neil_Sedaka.pdf&id=997","Breaking Up Is Hard To Do","Neil Sedaka"
"song-display.html?song=The_Last_Train_Flying_Circus.pdf&id=996","The Last Train","Flying Circus"
"song-display.html?song=Will_You_Love_Me_Tomorrow_Shirelles.pdf&id=995","Will You Love Me Tomorrow","Shirelles"
"song-display.html?song=Rockin_All_Over_The_World_John_Fogerty.pdf&id=994","Rockin All Over The World","John Fogerty"
"song-display.html?song=Moving_In_A_Circle_Executives.pdf&id=993","Moving In A Circle","Executives"
"song-display.html?song=Breakfast_At_Tiffanys_Deep_Blue_Something.pdf&id=992","Breakfast At Tiffany's","Deep Blue Something"
"song-display.html?song=The_Rain_The_Park_And_Other_Things_Cowsills.pdf&id=991","The Rain The Park And Other Things","Cowsills"
"song-display.html?song=Listen_People_Hermans_Hermits.pdf&id=990","Listen People","Herman's Hermits"
"song-display.html?song=Both_Sides_Now_Joni_Mitchell.pdf&id=989","Both Sides Now","Joni Mitchell"
"song-display.html?song=Dont_Dream_Its_Over_C.pdf&id=987","Don't Dream It's Over","Crowded House"
"song-display.html?song=Sky_Pilot_Animals.pdf&id=986","Sky Pilot","Animals"
"song-display.html?song=Bring_Me_Sunshine_Jive_Aces.pdf&id=985","Bring Me Sunshine","Jive Aces"
"song-display.html?song=Another_Girl_Another_Planet_Only_Ones.pdf&id=984","Another Girl Another Planet","Only Ones"
"song-display.html?song=Things_We_Said_Today_Beatles.pdf&id=983","Things We Said Today","Beatles"
"song-display.html?song=Island_of_Dreams_Springfields.pdf&id=981","Island Of Dreams","Springfields"
"song-display.html?song=I_Want_You_Back_Hoodoo_Gurus.pdf&id=980","I Want You Back","Hoodoo Gurus"
"song-display.html?song=Wake_Up_My_Mind_The_Uglys.pdf&id=978","Wake Up My Mind","Uglys"
"song-display.html?song=Swinging_On_A_Star_Bing_Crosby.pdf&id=977","Swinging On A Star","Bing Crosby"
"song-display.html?song=Ukulele_Baby_G.pdf&id=976","Ukulele Baby","James Evan Jones"
"song-display.html?song=Pretty_Woman_Roy_Orbison.pdf&id=975","Pretty Woman","Roy Orbison"
"song-display.html?song=Oh_Susanna_Stephen_Foster.pdf&id=974","Oh Susanna","Stephen Foster"
"song-display.html?song=Vincent_Don_McLean.pdf&id=973","Vincent","Don McLean"
"song-display.html?song=My_Guy_Mary_Wells.pdf&id=972","My Guy","Mary Wells"
"song-display.html?song=Scooby_Doo_Theme_Songs.pdf&id=971","Scooby Doo Theme Songs [Old and New]",""
"song-display.html?song=The_Nips_Are_Getting_Bigger_Mental_As_Anything.pdf&id=970","The Nips Are Getting Bigger","Mental As Anything"
"song-display.html?song=The_Killing_Moon_Echo_and_the_Bunnymen.pdf&id=969","The Killing Moon","Echo and the Bunnymen"
"song-display.html?song=Slipping_Away_Max_Merritt_and_the_Meteors.pdf&id=968","Slipping Away","Max Merritt and the Meteors"
"song-display.html?song=Gypsys_Tramps_and_Thieves_Cher_Am.pdf&id=967","Gypsys Tramps and Thieves","Cher"
"song-display.html?song=Paint_It_Black_Rolling_Stones.pdf&id=966","Paint It Black","Rolling Stones"
"song-display.html?song=Alone_With_You_Sunnyboys.pdf&id=965","Alone With You","Sunnyboys"
"song-display.html?song=Moving_Right_Along_Muppets.pdf&id=964","Moving Right Along","Muppets"
"song-display.html?song=Love_Of_The_Common_People_Nicky_Thomas.pdf&id=963","Love Of The Common People","Nicky Thomas"
"song-display.html?song=Wild_Horses_Rolling_Stones.pdf&id=962","Wild Horses","Rolling Stones"
"song-display.html?song=Dont_Hurt_My_Little_Sister_Beach_Boys.pdf&id=961","Don't Hurt My Little Sister","Beach Boys"
"song-display.html?song=Rocky_Raccoon_Beatles.pdf&id=960","Rocky Raccoon","Beatles"
"song-display.html?song=Elenore_Turtles.pdf&id=959","Elenore","Turtles"
"song-display.html?song=Uptown__Girl_Billy_Joel.pdf&id=958","Uptown Girl","Billy Joel"
"song-display.html?song=Unchain_My_Heart_Ray_Charles.pdf&id=957","Unchain My Heart","Ray Charles"
"song-display.html?song=Feed_Them_To_The_Linden_Lions_Pavement.pdf&id=956","Feed Them To The (Linden) Lions","Pavement"
"song-display.html?song=Sittin_on_the_Dock_of_the_Bay_F_Otis_Redding.pdf&id=954","Sittin On The Dock Of The Bay","Otis Redding"
"song-display.html?song=Sittin_on_the_Dock_of_the_Bay_Otis_Redding.pdf&id=953","Sittin On The Dock Of The Bay","Otis Redding"
"song-display.html?song=Australia_Kinks.pdf&id=952","Australia","Kinks"
"song-display.html?song=Ordinary_World_Duran_Duran.pdf&id=951","Ordinary World","Duran Duran"
"song-display.html?song=Van_Diemens_Land_U2.pdf&id=950","Van Dieman's Land","U2"
"song-display.html?song=The_Price_Of_Love_Bryan_Ferry.pdf&id=949","The Price Of Love","Bryan Ferry"
"song-display.html?song=Throw_Your_Arms_Around_Me_Hunters_and_Collectors.pdf&id=948","Throw Your Arms Around Me","Hunters and Collectors"
"song-display.html?song=Dont_Get_Me_Wrong_Pretenders.pdf&id=947","Don't Get Me Wrong","Pretenders"
"song-display.html?song=Ive__Gotta_Get_A_Message_To_You_Bee_Gees.pdf&id=946","I've Gotta Get A Message To You","Bee Gees"
"song-display.html?song=Words__Bee_Gees.pdf&id=945","Words","Bee Gees"
"song-display.html?song=I_See_Red_Split_Enz.pdf&id=944","I  See Red","Split Enz"
"song-display.html?song=Dont_Fall_In_Love_Ferrets.pdf&id=943","Don't Fall In Love","Ferrets"
"song-display.html?song=This_Is_Tomorrow_Bryan_Ferry.pdf&id=942","This Is Tomorrow","Bryan Ferry"
"song-display.html?song=Youre_Gonna_Lose_That_Girl_Beatles.pdf&id=939","You're Gonna Lose That Girl","Beatles"
"song-display.html?song=Just__Cant_Get_Enough_Depeche_Mode.pdf&id=938","Just Can't Get Enough","Depeche Mode"
"song-display.html?song=Been_A_Long_Time_Wes_Carr.pdf&id=937","Been A Long Time","Wes Carr"
"song-display.html?song=Step_Back_Johnny_Young.pdf&id=936","Step Back","Johnny Young"
